                          Microsoft Top 100 Production Suppliers
             Based on FY24 spend for commercially available hardware products

AAC ACOUSTIC TECHNOLOGIES                      MEKTEC MANUFACTURING CORPORATION
AAVID THERMALLOY LLC                           MICRON SEMICONDUCTOR PRODUCTS INC
ADVANCED CERAMIC X CORP                        MOLEX LLC
ADVANCED INTERNATIONAL MULTITECH               MONOLITHIC POWER SYSTEMS INC
ADVANCED MICRO DEVICES, INC                    MURATA MANUFACTURING CO., LTD
ALLEGRO MICROSYSTEMS, INC                      NEXPERIA USA, INC
ALPHA & OMEGA SEMICONDUCTOR INC                NIDEC SEIMITSU
ALPS ELECTRIC COMPANY                          NVIDIA SINGAPORE PTE LTD
APAQ TECHNOLOGIES                              NXP SEMICONDUCTORS NETHERLANDS B.V.
ASIA VITAL COMPONENTS                          ON SEMICONDUCTOR
AVARY HOLDING (SHENZHEN) CO., LTD              PANASONIC CORPORATION OF NORTH AMERICA
AVX CORPORATION                                PEGATRON CORPORATION
BEST EVER INDUSTRIES LIMITED TAIWAN            PENNENGINEERING HK LIMITED
CASETEK COMPUTER                               PHILIPS & LITE-ON DIGITAL
CHICONY AMERICA INC                            PRIMAX ELECTRONICS LTD
CHICONY POWER TECHNOLOGY CO., LTD              QUADRANT SOLUTIONS INC
CYMMETRIK (SHENZHEN) PRINTING                  QUALCOMM CDMA TECHNOLOGIES
CYNTEC CO., LTD                                QUANTA COMPUTER INC
DELTA ELECTRONICS (AMERICAS) LTD               REALTEK SEMICONDUCTOR CORPORATION
DIODES INCORPORATED                            REGINA MIRACLE INTERNATIONAL
DONG GUAN BO QUAN RUBBER & PLASTIC             RICHTEK TECHNOLOGY CORP
DURACELL (CHINA) LIMITED                       RR DONNELLEY
DYNACAST DONGGUAN LTD                          SAMSUNG ELECTRO MECHANICS CO., LTD
DYNAMIC APEX LIMITED                           SAMSUNG SEMICONDUCTOR, INC
DYNAPACK INTERNATIONAL TECHNOLOGY              SHARP ELECTRONICS CORPORATION
EATON ELECTRIC (SINGAPORE) PTE. LTD            SHENZHEN HORN AUDIO CO., LTD
FIRST ENGINEERING LTD                          SHENZHEN JIAAI MOTOR CO., LTD
FOXCONN INTERCONNECT                           SHENZHEN SUNLORD ELECTRONICS CO., LTD
FOXCONN TECHNOLOGY CO., LTD                    SHENZHEN SUNWAY COMMUNICATION
FOXLINK INTERNATIONAL INC                      SHIN ZU SHING CO., LTD
FTP TECHNOLOGY INC                             SIMPLO TECHNOLOGY CO., LTD
GENERAL INTERFACE SOLUTION LIMITED             SK HYNIX AMERICA INC
GLOBALFOUNDRIES SINGAPORE PTE LTD              SOLID STATE STORAGE TECHNOLOGY
GOERTEK INC                                    STANLEY ENGINEERED FASTENING
GOERTEK OPTICAL TECHNOLOGY CO., LTD            STMICROELECTRONICS ASIA PACIFIC PTE
HANGZHOU AMPHENOL PHOENIX TELECOM              SUNWODA ELECTRONIC CO., LTD
HANNSTAR BOARD                                 SUZHOU DONGSHAN PRECISION
HON HAI PRECISION INDUSTRY CO., LTD            TAIYO YUDEN CO., LTD
HONG KONG HONDA PRINTING HOLDINGS LTD          TEXAS INSTRUMENTS INCORPORATED
INTEGRATED DEVICE TECHNOLOGY, INC              TOSHIBA AMERICA
INTEL AMERICAS INC                             TPK UNIVERSAL SOLUTIONS LIMITED
I-PEX INC                                      TRIPOD TECHNOLOGY CORPORATION
KIOXIA                                         UNIMICRON TECHNOLOGY (KUNSHAN) CORP
LAIRD TECHNOLOGIES, INC                        VICTORY GIANT TECHNOLOGY (HUIZHOU)
LELON ELECTRONICS (SUZHOU) CO., LTD            WALSIN TECHNOLOGY CORPORATION
LG DISPLAY AMERICA, INC                        WELL SHIN TECHNOLOGY CO., LTD
LG INNOTEK CO., LTD                            WESTERN DIGITAL (SINGAPORE)
LITE-ON TECHNOLOGY CORPORATION                 WINBOND ELECTRONICS CORPORATION
LUXSHARE PRECISION LIMITED                     YAGEO AMERICA CORPORATION
MEDIATEK INC                                   ZHUHAI SENYANG PACKING TECHNOLOGY

